Genes	P value (cut-off 0.05)
FMOD	8.13319279773931e-13
HAND2-AS1	3.39851655121404e-18
FGFR1	2.55873476157416e-10
LTBP2	3.29541124608703e-16
FAM127A	3.61879530318331e-11
AOC3	1.35995317333025e-15
C1orf198	2.62585790957291e-14
MYH11	5.56135676734363e-06
ITGBL1	1.6846634633202e-18
KDELR3	2.44218601219206e-19
ADAMTSL2	1.325692991214e-14
RAB34	6.34064460458319e-16
TNC	2.06979212707773e-15
MMP2	1.03748507771596e-15
NR2F1	1.11764874814341e-07
PLIN5	0.0157355690976232
SCARA3	1.07611730913148e-10
TCEAL4	6.07900108059934e-10
ACER3	0.0230588890733654
JUND	0.00598821965527786
CCDC3	3.20624662930538e-12
NOTCH3	2.00699543984197e-07
PM20D2	4.98363233286467e-07
CETN3	0.0211730549228862
RFX1	0.00397252288072916
PMM1	8.04727693201986e-05
MRPS10	0.00252081165070624
ASB8	0.00947451561822745
MPG	8.21333045909278e-11
SYNE1	2.11640377179086e-05
TTC14	0.00201781024831384
RTCB	0.00356395519236502
TEAD1	9.82628933768212e-08
GAPVD1	0.000185697206612083
COG8	0.000938846801438884
GOLT1B	0.00131604747406259
HDAC3	0.00882322714078942
DSEL	2.31290483198927e-06
PAPD5	0.0132075023946292
NF1	0.0021344275155476
IFI27L2	4.3534917568784e-08
CCSER2	0.000176235266992952
TPT1-AS1	4.01098963574784e-05
RAB12	0.000421141141222011
SUSD6	0.0312874330968715
MRPL48	0.000596958133408826
GNB5	0.000108004792244488
ADAL	0.00172393978778938
SORBS1	1.3316113102461e-05
TMED4	0.0163891388669317
TADA3	3.60349156077382e-05
PTEN	2.23286347642673e-05
DYNC1LI1	1.42342762335903e-05
BET1L	0.00527004376006234
SPTAN1	9.92197513077457e-11
CKAP4	1.66332403652462e-05
LNPEP	1.01360923945367e-06
ERCC1	0.00590875713016588
SCO1	0.000229499300715082
PLOD2	5.46762011149113e-09
MAPK9	0.029543592222805
WDR18	0.0412757876005059
MED13L	0.0346914791293947
UTP3	0.00292393384953447
ARHGAP1	0.0200659400711066
FBXL3	0.00777183609203064
NTAN1	0.00120474865463446
SETD5	8.91932908802724e-05
MPDU1	0.00570515031270336
UBE2V2	0.00028739278027636
FAM195B	0.000130161476901457
DAPK1	4.79405231297412e-10
RBM4	0.000114674785451982
PFKP	1.08349637075611e-05
CRK	0.000271911546278525
CPE	4.34416528313292e-05
KLF7	6.34793321384346e-05
BLOC1S6	0.00444166770074968
INF2	4.26896589043578e-06
TOP2B	2.08560662104036e-05
TBCB	1.1724245867395e-05
MTRF1L	0.00149355347283716
GNA13	1.81918307261109e-08
ADSL	0.00735514702937406
SMYD2	0.000204734055161031
SEPT11	3.09893158336259e-12
SERTAD2	0.000157127201672191
MCMBP	0.00172370174706583
GPNMB	4.15734565898162e-05
REXO4	0.034174208251741
PLEKHA5	0.00864016406160153
TMEM127	1.69170571464096e-05
VBP1	0.000463736672718369
AIDA	7.1159298566253e-06
EMC8	0.0116430112405572
CAMK1D	0.000211007256898529
TRIOBP	0.000930024094642821
MAP7D3	0.000186352877004602
TFG	2.02315187127058e-07
DPH3	0.0325969673703527
CCDC91	0.000569617801237024
SMIM20	0.000624409942270245
WDR46	3.52202182771096e-05
BAD	1.42703446350427e-06
RFXANK	1.93082564494908e-05
RP11-792A8.4	1.9952511607847e-05
SMU1	0.0133580414708516
ACTR10	0.000243501714756175
CUEDC2	7.55850496249868e-05
SEPT4	5.63036717310723e-09
UBE2A	9.51510027526233e-05
AC007246.3	0.000602058592670287
CASC3	0.00138747971513123
CD320	0.00430430909864982
GNL2	0.00312640922878259
SNW1	0.000117620493108406
LRRC47	8.33860069721614e-05
QKI	0.0046630801083444
SEPT10	0.0219306405253061
GLT8D1	0.000327167948025554
SETD2	0.000613608137863303
U2AF2	0.00149187745414855
SUDS3	0.0256070362979418
NPEPPS	0.000780842308646085
DCUN1D5	0.00534846759767421
CINP	0.00012693036891311
TMEM242	1.38559776171742e-07
PPP1R12A	9.47070467905991e-08
TPST1	0.00135574015344892
CARS	1.6273034179929e-05
STRN3	3.4064363603767e-07
MED6	0.0124870609130478
NT5C	0.0209076367603822
TMEM50B	0.0107389266200666
GAN	2.49925168211476e-06
SNRPN	0.000205321098319154
CPQ	0.000317785912454467
RAMP1	5.54756984544784e-10
PDCD2	0.000228292739497406
GORASP2	1.0267821622928e-05
EXOC5	0.00146735002509081
TMX2	0.000879446693119057
MACF1	9.26321075979287e-05
INAFM1	0.00198300634140557
MAGED1	5.17530798242992e-09
TNPO1	0.000167852624530575
NCOA7	0.00549259707191357
GAA	1.18061869065788e-08
RBBP7	7.16947790206707e-05
SS18	0.0181662556803148
TTF1	0.000599078816667573
PXK	1.50373035823417e-07
FAM167B	0.002752713609623
CTNNAL1	3.54065748065025e-06
ZEB1	0.00288129273944523
STX10	0.00157801549349408
PCM1	0.0248905461441653
EXOSC6	5.66856470273935e-06
SENP6	0.0026114957801957
CLTB	0.0153470947075942
NOTCH2	0.0150221765136672
PHACTR2	0.000237008194088857
MID1IP1	0.0484877212561727
C5orf15	0.0299179512318764
WDR13	7.37960601263246e-05
MAGED2	0.000147227631597674
RASGEF1B	0.012164998209674
SLC29A1	0.000107980318791648
HCFC1R1	1.88643380106267e-08
MICU2	0.000394527162770121
C1orf122	4.69652044125606e-05
AP2A1	0.00769830150355397
SAP30	3.11011688711822e-05
MRPS9	6.30950665148836e-06
ELP6	2.79287910356249e-05
MARCKS	3.92600497421229e-11
TCAF1	9.44358558311083e-09
PBX1	2.39448790735913e-12
CEBPZOS	1.56057941749594e-05
LIFR	0.000116423668798305
PHPT1	0.00844941925286968
YBEY	0.00252265001653316
FAM120AOS	9.48610725923135e-07
HACL1	0.033371438361358
ARNT	0.0482861115589258
RGS12	0.000479579342387131
SNU13	0.0378205205560953
FLI1	0.0425850601546601
TPGS2	1.28071524383037e-05
MAP4	0.0039689419642059
ALG3	2.73951077671996e-06
CHD9	7.65742427218876e-06
SAMD4B	0.014288604876429
PIGT	2.62182081399891e-08
A4GALT	3.71657558751443e-06
RDH14	0.000503696001497781
STX7	0.00591614171137322
MEA1	1.24741595933441e-05
JADE1	0.0133634234337793
TIMM9	5.13155986615928e-07
ABCC3	8.91983522792205e-05
SNTB2	5.77672635074225e-06
IFI35	0.00118025229630391
ACBD3	0.000483978988500915
FAM3C	0.0141551238384168
CH17-189H20.1	0.0018958504556983
BCAP29	0.00618805042585656
CAMSAP2	3.46517375525482e-05
SDCCAG8	0.000125923091736676
MAP7D1	0.000478568712066502
CNPY4	0.00134515477367887
SGSM2	2.01314143299405e-07
PCK2	0.00121079616730442
SNX1	0.00393008527247123
TNKS1BP1	3.19054742869602e-05
BOD1L1	0.0159870473923576
MYO1D	2.10522066912458e-05
DNM1L	3.37519928470577e-05
PRPF6	0.00400867378001928
KIAA0355	2.01332127439761e-05
CAMLG	1.23905392333104e-05
ADD1	0.000834377591561819
FBXL15	5.80413221820101e-07
ATXN7L3B	0.0387845666349654
NAAA	0.00746666654014952
NOLC1	4.31322225257776e-05
TRIM28	0.00121985078598145
SORBS3	6.22043509679629e-08
PLXDC2	0.000130548599627887
SEPW1	0.00086072723446091
TSC22D1	0.000220379946634223
ADGRE5	1.84980219467095e-05
ARHGAP10	0.00241127854461177
LBH	0.000557402449092001
CSNK1D	0.000281891565656806
NCBP3	0.00773642652520468
CTTN	0.0389042517483317
CCDC28B	0.00100589933762333
PBX2	0.00360010324805652
PHACTR4	0.0317167605771002
ACTN1	5.56683567398468e-08
TXNDC12	0.00039382884798114
GATA6	1.46996068545795e-09
UTP11L	9.16039279937071e-05
CHD6	0.0135487491902576
SRSF1	0.00900889434197823
AIP	0.0033120002463886
PDCD6	0.00105247492415212
TPD52L2	6.35553423965517e-07
WBP11	0.000603134986058196
RANGRF	0.00429282987029085
IRF2BPL	0.00451912077956197
OTUB1	0.0118951832818948
ANXA11	9.49256796218207e-10
MEGF6	5.38606276938283e-09
APP	1.47761432758179e-06
DSTN	1.7489950463947e-06
PLEKHG3	0.00427881022696377
KMT2A	0.00189769674991042
NR1H4	0.000220113931625684
RHBDD2	0.0194372808125391
YAP1	7.09501560632189e-07
GPKOW	0.0384184164412062
TRAPPC4	0.0021971976872825
VASP	0.000117474265049662
MYO9B	0.000791403233514777
MTHFD2	7.91678350533957e-07
PVRL2	8.92981383657508e-11
KDM6B	0.000329660059186393
GNPAT	0.00857376834844861
TSSC4	4.0641799171464e-06
PLEKHF2	6.28990537750991e-05
ITGA5	0.00117478403377385
PPP1R12C	8.30859212758067e-06
ATL3	0.0491596589605972
PHYHD1	0.000162929780823625
FGD5-AS1	4.15469859896884e-05
FUBP1	6.71986892474155e-05
PLAUR	4.06338340074593e-07
FN1	0.000149133261589202
RNF168	0.00120845920922086
GABPB1-AS1	0.015913682574534
KDM5A	0.0118537955126328
APOBEC3C	0.00100761514917152
RASSF4	7.62747244920894e-06
GNG11	1.27648637944412e-14
ACTN4	2.01489045818268e-09
CREM	0.000871800925533373
ZNF32	0.00337792786876921
SHC1	0.0203020385473103
VPS25	2.50049127190501e-08
GLIPR2	7.45198406015676e-11
AMZ2	0.00488940466157822
RP11-553L6.5	0.00454430333209054
DVL3	0.00282742298899857
NME3	4.65519680224605e-06
C1orf123	0.0442927732827967
TPP2	2.05914870760131e-05
TES	0.0490191237220314
SH3BP5	0.00501884063673366
CNKSR3	0.0114596327523062
PRPF8	0.0133459391960738
EMD	1.78715839913645e-07
C1orf131	0.0256639197800855
ARHGAP21	0.000149407675813242
BRD3	0.000231199862513718
LSM12	0.0421718857360758
NFIB	0.000616921425339562
ZCCHC17	0.00511349085110117
SLC35F6	0.0330886406053098
PPT1	0.00239485833971649
CRTAP	1.57915103373235e-09
SBDS	6.75105240953516e-12
MRPL28	1.0312949624852e-07
YWHAQ	5.00825651033084e-08
ATP6V1E1	9.93963938883109e-08
RNMT	0.000359325869007877
PRKAG1	0.00125899783870081
NTMT1	0.000579645016748806
BZW2	0.00226841453791662
MRPS23	1.22945436419767e-05
ANKRD40	0.00664462341076759
ABHD2	0.00850427046683613
ZNF358	7.37767282020167e-05
FAM103A1	1.21973687454667e-05
RABEPK	0.000146492903524595
PLEC	1.59369477352741e-06
SGK1	3.07790929265176e-08
MDM2	0.000748211265027928
ARFRP1	6.02069190734961e-06
PPP1R8	0.000182176310099041
TSPAN14	0.0110739545425853
TRIM13	3.83483482944202e-05
GTF2E2	0.0010467846166041
GNA11	0.000793211243099409
ARHGAP5	9.79047537162222e-05
COQ10B	0.00283462566976741
COL27A1	8.46374244292445e-08
PURA	0.00340643583813372
COPS3	0.0278563628217257
TSPAN3	1.72696153563045e-05
SPATS2	0.00113347084297484
FMO5	5.58970347012924e-05
TSKU	0.0281854158999479
CLIP1	0.00254434053674724
HDAC1	0.0325932080344893
NBEAL1	0.00218894007070976
LENG8	1.30147166439441e-05
CCT5	0.000466055402618085
FAM118A	1.78837327615169e-05
ATXN7	3.60673428520584e-06
CBX5	5.7674098738517e-05
MBD3	0.0149447648677697
TM2D3	0.000590653194580709
RNF115	0.00233669459379062
ACTG1	0.00033226821254775
SLC11A2	0.000193778020363074
FAAP20	3.04197265826252e-05
HIF1A	0.000985761799833151
CCDC115	9.85913426107355e-05
EFCAB14	0.033762534640918
TMEM223	1.27610428957297e-08
NIPSNAP3A	0.00612200391181615
PAFAH1B2	0.000238391973581456
LIMS1	7.55121613984499e-05
RING1	0.00222049004659943
PCAT19	0.000401673278796216
STX8	0.0219340891981264
GLS	0.0142855149884152
AP3S1	3.44378414634091e-07
SEPT2	6.17113498054685e-07
PPP1CB	3.74310652652357e-09
STAT6	1.77109066283979e-06
TROVE2	4.39845865191304e-05
LSM2	4.68878929917997e-08
IMPDH2	4.46835158846296e-06
TGIF1	0.0287142608890572
GOLGB1	0.000148806493510265
AZIN1	0.00196903134679608
HSPA13	0.000148232742121933
MPHOSPH6	3.03065868638966e-05
DEXI	2.26186635838708e-05
RC3H1	9.25664237758025e-06
RSF1	0.000373342770002344
AK1	4.88042784739773e-05
GLRX3	5.13871205345563e-06
CFL2	1.55409573598756e-07
TMEM179B	6.85479680500864e-05
FAM46A	0.00109409775331758
USP22	0.0318138348039396
METTL23	0.00269997485668522
RCN3	1.35947276504115e-18
KPNA3	2.67339163610113e-05
USP14	0.000449042806914849
HES1	0.0344399368201705
TRAF4	0.0126285618660021
ZDHHC4	0.000324620585454816
NABP2	0.00510705673645976
CCDC85B	1.75958070622911e-10
CORO1C	0.000124519715315506
SKAP2	0.00575600208239867
CCNH	0.00622513604416917
PICALM	7.0242446592066e-09
DAB2	3.12171574068936e-05
STT3A	0.00306198758190099
LMO7	0.000741615555547414
B4GALT7	0.00471436317783096
RRAGA	1.44632112403391e-05
MAPK1IP1L	3.40146942696318e-06
RPP21	0.00450243789018016
SH3GL1	0.0109740649870268
RHOT2	0.0248023819742576
UBXN2A	0.000176211367131947
DYNC1H1	9.72113057553408e-05
TCF7L2	4.21848629648736e-06
THYN1	0.000989166303150321
UNC50	0.036480397876327
P4HA1	0.00273132838857752
FBXO17	0.000259837801593557
ADRBK1	0.0450962580691793
PTGES3	0.0116921106089395
KIN	1.18412075502296e-05
NUDT21	0.00302422472093997
DUSP14	0.0199062020953033
ETS1	0.000250903727119512
TMEM106C	0.000474399186020363
CDC16	0.000138697796129292
LLPH	0.000664125940636315
SRM	0.000126757675315428
PPHLN1	1.12652991641762e-05
DUSP22	0.0163157664799323
XRN1	9.19637968484516e-05
MRPL17	0.00122118578772525
TSPYL2	0.000323753969458066
C12orf75	1.48715525901939e-08
MYH9	4.41559518936479e-08
EMG1	0.0172274526661085
KANK1	0.00140937262479266
SMC3	0.0126253000487528
PSMG4	0.0359245308700137
PPP6C	0.00912144093846459
RAMP3	0.000705589155194504
ITGB5	2.88077666593156e-06
TMEM126B	0.0456089545650687
PCF11	1.21666366142136e-05
IAH1	1.18071718263582e-06
MSRA	0.0141312644803132
PSMD9	3.73465606207432e-07
PLEKHJ1	0.0283038759534906
CCZ1	0.00312463767900316
CELF1	0.0304029983963111
RARA	1.93087020603432e-05
LCP2	0.0332028889264913
PDHB	0.00209273086214552
FAM20C	0.0302188537368862
SLC48A1	0.000788531649578664
DPYSL2	2.28651192484743e-10
STARD3	0.0142928901769913
RAB32	5.04391093639444e-06
CDC42EP1	0.00233007530081157
CENPC	0.0245034338227148
FAM204A	0.000210016249656567
VDAC2	4.49401116606564e-09
SHKBP1	0.043727198011525
UBE2I	7.62907144447849e-06
TGFBR1	0.000684801378975173
ATG101	0.000121667728433373
IL33	5.66337641147298e-07
CYP4F3	3.66275460925793e-05
STAG1	9.89229892863255e-05
GPD1	0.0429626034670141
PTPRA	1.25085035527776e-05
CFHR5	0.0443090602598541
PCYT1A	0.00781051480302187
CTNNA1	0.000121741876036707
ITIH1	1.22312797065417e-05
ACTR1B	0.000484428451790481
THAP5	0.024206942323966
SPTSSA	3.14640964755333e-07
MFHAS1	0.00135921997428337
EPB41L4A-AS1	5.31474183931526e-05
SSRP1	7.65851796831372e-09
EHD3	0.005582040417023
NAP1L1	9.64479735910467e-05
PDCD6IP	0.0206716945632591
CCNC	0.0045885320566829
CMIP	0.00137728463083353
C7orf49	0.00753912970831603
TMEM263	1.08460165287993e-05
PHIP	8.17930774607302e-05
NPR1	0.00313492429014843
CEBPD	0.000676681968020701
TSC22D2	0.0149500339981642
AKR1A1	0.0286435565246161
PCNA	9.34831260321645e-05
UBE2G2	8.29275606038048e-05
NCKAP1	1.1302593095489e-08
REEP3	0.000200807656872783
CYB5D2	0.000783623397861356
MPHOSPH10	0.0321486818100356
NUDT22	0.000552674930177116
TFAM	0.00359576124005096
ERGIC2	1.0767225947174e-05
MMGT1	0.00427480454079152
NELFE	6.89422067207191e-07
C11orf74	0.000823294057971951
FAM200B	3.828024919951e-07
DIP2A	0.0465001021294604
ASNA1	2.87730572581816e-05
RNASEK	0.000477319331167528
ALDH5A1	0.0106964041792201
PNRC2	0.0364027425054864
R3HDM2	0.00275072173357892
DNMT1	7.41963900930905e-05
SMS	7.1294627833984e-05
DNAJB4	0.0206592080860803
POLR2J3	0.000183755470468862
STAMBP	0.0114947988485788
SYNE2	1.66404159374005e-06
PTGES2	0.000100239471161178
PSMC4	0.0319218695982468
FIBP	0.000486041781745846
PAPSS2	0.00108753838311597
RPP25L	0.00643125019244512
KRCC1	8.48138316784727e-05
JMJD8	3.53752197284202e-05
SPON2	0.000831628373817008
IGF2	0.00270405998079306
BASP1	2.54548006414274e-13
SCAF1	8.72818142313292e-06
CCND2	1.44648780311387e-05
KDSR	0.0249472479436497
C7orf50	1.46802248930301e-05
PSMD3	0.000164262109392263
ACP5	0.000429891608273318
CD9	0.00627379421970813
NKAP	0.00453665448220218
NXT1	5.26276809040021e-07
MKLN1	0.0115354354402319
ICAM1	0.00489896430360887
CCT3	0.000110901842349177
JAGN1	0.000152896218207594
MED8	0.000696702978302985
ATP6V0E2	0.0320345848968612
ACTL6A	0.000139335466371624
RP11-390F4.3	0.0400287451836279
WWOX	0.0189326531690187
CCDC69	0.0480901112157098
SRI	3.92488426357448e-06
SRSF10	0.000301142922383631
GPS1	5.46403747920854e-09
MRPL47	0.00420044317513063
ZFP91	0.00113806000711663
PPP4R3B	0.00199553225199852
RPS6KA3	0.00961146160462771
SNRPA1	0.00407878979888204
NDRG1	0.000253824618417149
TPRKB	0.000109956513911546
TSR3	0.00154040238072353
NSL1	0.00111053957082961
PAWR	0.00231190070009604
ATP1B3	2.34816310472779e-07
PFDN1	0.000202631617957983
C12orf10	0.000305131838163548
G6PD	0.0195922898645675
CYP3A5	0.0173490901635089
KMT2C	0.0211049698989335
PPP3CB	0.00311915888873696
MRPL18	2.31113628953139e-07
TRIM44	0.000334538172005971
RPL39L	0.00437439080106045
CCM2	0.0109011733160946
ZRANB1	5.50300142545452e-05
CDH2	3.09478741111994e-05
MMP24-AS1	3.53908937721428e-06
TMA16	5.31446670013206e-07
KLHL24	0.00237445683630065
GLIPR1	1.65802949692075e-06
NUBP1	0.0345655557641479
PDZD11	6.28444353216262e-05
ARF1	0.0129166112079213
CSK	0.0108803030816185
FMNL1	0.0411060139867265
HNRNPH3	0.00784777085857443
CHD4	1.25590249248446e-05
RAB1B	0.000700019846187223
RFC1	0.00248231831307391
DUSP5	2.38051787484746e-10
RBBP6	0.000237558048753214
HGSNAT	0.00772592167701906
C1orf21	3.08245061089697e-05
IMPAD1	0.000983090730968381
APOC4-APOC2	0.0175730915303688
CDC73	0.000340861976679735
CLPP	0.00115399570052898
AKIRIN2	0.015629288261962
APIP	0.0155853698869269
MTCH1	1.92851893891659e-08
FAM45A	0.000957295858645394
F12	2.16894394886547e-05
TMEM199	0.00130677143460698
ATP5S	0.000176609542185335
PKM	5.2496081645882e-06
MPPE1	0.000309637865749004
FEM1C	0.00290826520194392
TMEM165	3.01438717932952e-07
BCR	0.000338247518499758
CLEC1B	0.00330319172624621
TKFC	0.013677338230019
PANK3	5.63565475740656e-05
NCOA3	0.00647307389816794
NDUFAF2	3.38096981829021e-07
CD47	0.000319128388709602
MRPL22	4.26324984465765e-09
THUMPD3-AS1	3.09514334161247e-06
IKZF1	0.0372850870308927
CRYL1	0.00862402766837243
MRPL24	2.55769255161258e-05
PKN1	1.42310743799177e-06
EIF4EBP2	0.0257432028647533
PTPRB	8.25353848176032e-06
CALCOCO2	0.0015462869560041
D2HGDH	0.000192994907948198
TM2D2	1.37088245034618e-06
FAM207A	3.69500841930184e-06
TRAF3IP3	0.012691528907776
DYNLRB1	1.12989753979561e-07
HERC1	6.21902289757801e-05
PLS3	7.38345521556181e-08
ITFG1	1.95537513988155e-06
RBMS1	2.08415736319637e-07
PLEK	0.00211316325199538
SEPT6	0.000859834815995768
KCTD20	7.81708731551984e-06
BRWD1	0.0310444023289938
LINC00998	0.000547061800003626
ZMYM2	0.000871173916588208
MLX	0.0183463362051677
ODC1	0.0260382716292583
CEBPZ	0.00112774089277194
UBE2S	0.00432901754488535
TDG	8.52525427369963e-07
WEE1	7.31653259794235e-05
EIF2S3	7.30056868358612e-05
IFITM1	0.00590730534660844
MZT1	8.34848578159309e-05
ZNF292	0.000328592766451187
SNX6	1.01298969463687e-05
